Tension_Pa_m,Radius_m,Depth_Ratio,B_Parameter,Eigenvalue_X,Frequency_Hz,Mode_Number
500,0.05,0.1,0,2.40482555769519,171.166475541976,1
500,0.05,0.1,0,5.52007811028645,392.898483563897,2
500,0.05,0.1,0,8.65372791291103,615.939938933377,3
500,0.05,0.1,0,11.7915344390139,839.277254310378,4
500,0.05,0.1,0,14.930917708488,1062.7267963746,5
500,0.05,0.1,0,18.0710639679115,1286.23064520552,6
500,0.05,0.1,0,21.2116366299,1509.76484377386,7
500,0.05,0.1,0,24.3524715307517,1733.31770752222,8
500,0.05,0.1,0,27.4934791320416,1956.8828634409,9
500,0.05,0.1,0,30.634606468442,2180.45654165626,10
500,0.05,0.4,0,2.40482555769519,171.166475541976,1
500,0.05,0.4,0,5.52007811028645,392.898483563897,2
500,0.05,0.4,0,8.65372791291103,615.939938933377,3
500,0.05,0.4,0,11.7915344390139,839.277254310378,4
500,0.05,0.4,0,14.930917708488,1062.7267963746,5
500,0.05,0.4,0,18.0710639679115,1286.23064520552,6
500,0.05,0.4,0,21.2116366299,1509.76484377386,7
500,0.05,0.4,0,24.3524715307517,1733.31770752222,8
500,0.05,0.4,0,27.4934791320416,1956.8828634409,9
500,0.05,0.4,0,30.634606468442,2180.45654165626,10
500,0.05,0.75,0,2.40482555769519,171.166475541976,1
500,0.05,0.75,0,5.52007811028645,392.898483563897,2
500,0.05,0.75,0,8.65372791291103,615.939938933377,3
500,0.05,0.75,0,11.7915344390139,839.277254310378,4
500,0.05,0.75,0,14.930917708488,1062.7267963746,5
500,0.05,0.75,0,18.0710639679115,1286.23064520552,6
500,0.05,0.75,0,21.2116366299,1509.76484377386,7
500,0.05,0.75,0,24.3524715307517,1733.31770752222,8
500,0.05,0.75,0,27.4934791320416,1956.8828634409,9
500,0.05,0.75,0,30.634606468442,2180.45654165626,10
500,0.05,1,0,2.40482555769519,171.166475541976,1
500,0.05,1,0,5.52007811028645,392.898483563897,2
500,0.05,1,0,8.65372791291103,615.939938933377,3
500,0.05,1,0,11.7915344390139,839.277254310378,4
500,0.05,1,0,14.930917708488,1062.7267963746,5
500,0.05,1,0,18.0710639679115,1286.23064520552,6
500,0.05,1,0,21.2116366299,1509.76484377386,7
500,0.05,1,0,24.3524715307517,1733.31770752222,8
500,0.05,1,0,27.4934791320416,1956.8828634409,9
500,0.05,1,0,30.634606468442,2180.45654165626,10
500,0.1,0.1,0,2.40482555769519,85.583237770988,1
500,0.1,0.1,0,5.52007811028645,196.449241781948,2
500,0.1,0.1,0,8.65372791291103,307.969969466689,3
500,0.1,0.1,0,11.7915344390139,419.638627155189,4
500,0.1,0.1,0,14.930917708488,531.3633981873,5
500,0.1,0.1,0,18.0710639679115,643.115322602761,6
500,0.1,0.1,0,21.2116366299,754.882421886929,7
500,0.1,0.1,0,24.3524715307517,866.658853761112,8
500,0.1,0.1,0,27.4934791320416,978.441431720451,9
500,0.1,0.1,0,30.634606468442,1090.22827082813,10
500,0.1,0.4,0,2.40482555769519,85.583237770988,1
500,0.1,0.4,0,5.52007811028645,196.449241781948,2
500,0.1,0.4,0,8.65372791291103,307.969969466689,3
500,0.1,0.4,0,11.7915344390139,419.638627155189,4
500,0.1,0.4,0,14.930917708488,531.3633981873,5
500,0.1,0.4,0,18.0710639679115,643.115322602761,6
500,0.1,0.4,0,21.2116366299,754.882421886929,7
500,0.1,0.4,0,24.3524715307517,866.658853761112,8
500,0.1,0.4,0,27.4934791320416,978.441431720451,9
500,0.1,0.4,0,30.634606468442,1090.22827082813,10
500,0.1,0.75,0,2.40482555769519,85.583237770988,1
500,0.1,0.75,0,5.52007811028645,196.449241781948,2
500,0.1,0.75,0,8.65372791291103,307.969969466689,3
500,0.1,0.75,0,11.7915344390139,419.638627155189,4
500,0.1,0.75,0,14.930917708488,531.3633981873,5
500,0.1,0.75,0,18.0710639679115,643.115322602761,6
500,0.1,0.75,0,21.2116366299,754.882421886929,7
500,0.1,0.75,0,24.3524715307517,866.658853761112,8
500,0.1,0.75,0,27.4934791320416,978.441431720451,9
500,0.1,0.75,0,30.634606468442,1090.22827082813,10
500,0.1,1,0,2.40482555769519,85.583237770988,1
500,0.1,1,0,5.52007811028645,196.449241781948,2
500,0.1,1,0,8.65372791291103,307.969969466689,3
500,0.1,1,0,11.7915344390139,419.638627155189,4
500,0.1,1,0,14.930917708488,531.3633981873,5
500,0.1,1,0,18.0710639679115,643.115322602761,6
500,0.1,1,0,21.2116366299,754.882421886929,7
500,0.1,1,0,24.3524715307517,866.658853761112,8
500,0.1,1,0,27.4934791320416,978.441431720451,9
