x,J0
0,1
0.005,0.999993750009766
0.01,0.99997500015625
0.015,0.999943750791011
0.02,0.999900002499972
0.025,0.99984375610341
0.03,0.999775012655934
0.035,0.999693773446468
0.04,0.999600039998222
0.045,0.999493814068662
0.05,0.999375097649469
0.055,0.999243892966502
0.06,0.999100202479751
0.065,0.998944028883284
0.07,0.998775375105191
0.075,0.998594244307525
0.08,0.998400639886234
0.085,0.998194565471091
0.09,0.997976024925619
0.095,0.99774502234701
0.1,0.99750156206604
0.105,0.997245648646977
0.11,0.996977286887489
0.115,0.996696481818541
0.12,0.996403238704291
0.125,0.996097563041985
0.13,0.995779460561834
0.135,0.9954489372269
0.14,0.995105999232973
0.145,0.994750653008437
0.15,0.99438290521414
0.155,0.994002762743255
0.16,0.993610232721134
0.165,0.993205322505163
0.17,0.992788039684604
0.175,0.992358392080443
0.18,0.991916387745221
0.185,0.991462034962871
0.19,0.990995342248544
0.195,0.99051631834843
0.2,0.990024972239576
0.205,0.989521313129703
0.21,0.98900535045701
0.215,0.988477093889978
0.22,0.987936553327169
0.225,0.987383738897023
0.23,0.986818660957642
0.235,0.986241330096577
0.24,0.985651757130607
0.245,0.985049953105514
0.25,0.984435929295853
0.255,0.983809697204717
0.26,0.983171268563496
0.265,0.982520655331638
0.27,0.981857869696391
0.275,0.981182924072559
0.28,0.980495831102235
0.285,0.979796603654544
0.29,0.979085254825372
0.295,0.978361797937094
0.3,0.977626246538296
0.305,0.976878614403495
0.31,0.976118915532848
0.315,0.975347164151866
0.32,0.974563374711113
0.325,0.973767561885909
0.33,0.972959740576021
0.335,0.972139925905356
0.34,0.971308133221642
0.345,0.970464378096115
0.35,0.969608676323187
0.355,0.968741043920125
0.36,0.96786149712671
0.365,0.966970052404907
0.37,0.966066726438513
0.375,0.96515153613282
0.38,0.964224498614254
0.385,0.963285631230026
0.39,0.962334951547764
0.395,0.961372477355153
0.4,0.960398226659563
0.405,0.959412217687674
0.41,0.958414468885094
0.415,0.957404998915981
0.42,0.956383826662649
0.425,0.955350971225181
0.43,0.954306451921024
0.435,0.953250288284594
0.44,0.952182500066864
0.445,0.951103107234959
0.45,0.950012129971736
0.455,0.948909588675364
0.46,0.947795503958903
0.465,0.946669896649873
0.47,0.94553278778982
0.475,0.944384198633881
0.48,0.943224150650338
0.485,0.942052665520175
0.49,0.940869765136626
0.495,0.939675471604717
0.5,0.938469807240813
0.505,0.937252794572145
0.51,0.936024456336347
0.515,0.934784815480985
0.52,0.933533895163072
0.525,0.932271718748596
0.53,0.930998309812026
0.535,0.929713692135828
0.54,0.928417889709965
0.545,0.927110926731403
0.55,0.925792827603606
0.555,0.924463616936028
0.56,0.923123319543602
0.565,0.921771960446223
0.57,0.920409564868232
0.575,0.919036158237885
0.58,0.917651766186831
0.585,0.916256414549576
0.59,0.914850129362945
0.595,0.913432936865543
0.6,0.912004863497211
0.605,0.910565935898471
0.61,0.909116180909979
0.615,0.907655625571963
0.62,0.906184297123663
0.625,0.904702223002763
0.63,0.903209430844825
0.635,0.90170594848271
0.64,0.900191803946002
0.645,0.898667025460427
0.65,0.897131641447266
0.655,0.895585680522761
0.66,0.894029171497527
0.665,0.892462143375948
0.67,0.890884625355578
0.675,0.889296646826534
0.68,0.887698237370883
0.685,0.886089426762033
0.69,0.884470244964109
0.695,0.882840722131335
0.7,0.881200888607405
0.705,0.879550774924857
0.71,0.877890411804433
0.715,0.876219830154448
0.72,0.874539061070143
0.725,0.872848135833043
0.73,0.871147085910307
0.735,0.869435942954072
0.74,0.867714738800802
0.745,0.865983505470619
0.75,0.864242275166649
0.755,0.862491080274343
0.76,0.860729953360813
0.765,0.858958927174154
0.77,0.857178034642761
0.775,0.855387308874651
0.78,0.853586783156775
0.785,0.851776490954324
0.79,0.849956465910038
0.795,0.84812674184351
0.8,0.84628735275048
0.805,0.844438332802133
0.81,0.84257971634439
0.815,0.840711537897194
0.82,0.838833832153799
0.825,0.836946633980042
0.83,0.835049978413631
0.835,0.833143900663411
0.84,0.831228436108634
0.845,0.829303620298233
0.85,0.827369488950077
0.855,0.825426077950234
0.86,0.823473423352228
0.865,0.821511561376291
0.87,0.819540528408612
0.875,0.817560361000585
0.88,0.815571095868049
0.885,0.81357276989053
0.89,0.811565420110474
0.895,0.809549083732484
0.9,0.807523798122545
0.905,0.805489600807252
0.91,0.803446529473034
0.915,0.80139462196537
0.92,0.799333916288012
0.925,0.797264450602189
0.93,0.795186263225825
0.935,0.79309939263274
0.94,0.791003877451859
0.945,0.788899756466407
0.95,0.78678706861311
0.955,0.784665852981386
0.96,0.782536148812541
0.965,0.780397995498951
0.97,0.77825143258325
0.975,0.776096499757514
0.98,0.773933236862436
0.985,0.771761683886503
0.99,0.769581880965169
0.995,0.767393868380025
1,0.765197686557967
1.005,0.762993376070357
1.01,0.760780977632189
1.015,0.75856053210124
1.02,0.756332080477232
1.025,0.75409566390098
1.03,0.751851323653546
1.035,0.749599101155379
1.04,0.747339037965465
1.045,0.745071175780467
1.05,0.74279555643386
1.055,0.74051222189507
1.06,0.738221214268605
1.065,0.735922575793188
1.07,0.733616348840879
1.075,0.731302575916205
1.08,0.728981299655279
1.085,0.726652562824924
1.09,0.724316408321781
1.095,0.721972879171433
1.1,0.719622018527511
1.105,0.717263869670804
1.11,0.714898476008366
1.115,0.712525881072621
1.12,0.710146128520462
1.125,0.707759262132353
1.13,0.705365325811424
1.135,0.702964363582564
1.14,0.700556419591515
1.145,0.698141538103962
1.15,0.695719763504613
1.155,0.693291140296295
1.16,0.690855713099025
