Tension_Pa_m,Radius_m,Depth_Ratio,B_Parameter,Eigenvalue_X,Frequency_Hz,Mode_Number
500,0.05,0.1,210,5.08137378950481,361.673153247133,1
500,0.05,0.1,210,8.30246655109732,590.938470904507,2
500,0.05,0.1,210,11.3557469443054,808.259532748065,3
500,0.05,0.1,210,13.8641533809329,986.798507273863,4
500,0.05,0.1,210,15.5982343986207,1110.22389883796,5
500,0.05,0.1,210,18.2547180398503,1299.30245414073,6
500,0.05,0.1,210,21.2923595824588,1515.5104011764,7
500,0.05,0.1,210,24.3970904064329,1736.49351196615,8
500,0.05,0.1,210,27.5213354514794,1958.86557191823,9
500,0.05,0.1,210,30.6533773433374,2181.79258222203,10
500,0.05,0.4,52.5,4.84107230557751,344.56939370843,1
500,0.05,0.4,52.5,7.12945789469829,507.448108431613,2
500,0.05,0.4,52.5,9.02759993491935,642.550749063094,3
500,0.05,0.4,52.5,11.8901607419508,846.297105132996,4
500,0.05,0.4,52.5,14.9716967373907,1065.62929490759,5
500,0.05,0.4,52.5,18.0921659029128,1287.73260189827,6
500,0.05,0.4,52.5,21.2240637596369,1510.64936032075,7
500,0.05,0.4,52.5,24.3604382984205,1733.8847522041,8
500,0.05,0.4,52.5,27.4989047044346,1957.26903536149,9
500,0.05,0.4,52.5,30.6384732799013,2180.73176681218,10
500,0.05,0.75,28,4.44811954492273,316.600488071786,1
500,0.05,0.75,28,6.19966657782491,441.269045177113,2
500,0.05,0.75,28,8.78188313820108,625.061547843842,3
500,0.05,0.75,28,11.8336729875298,842.276518357134,4
500,0.05,0.75,28,14.9500627889995,1064.08947149448,5
500,0.05,0.75,28,18.0814209854628,1286.96781892097,6
500,0.05,0.75,28,21.21788690809,1510.20971516402,7
500,0.05,0.75,28,24.3565387740723,1733.60719866728,8
500,0.05,0.75,28,27.4962763903246,1957.08196180791,9
500,0.05,0.75,28,30.6366137292506,2180.5994109621,10
500,0.05,1,21,4.18209135470939,297.665597943094,1
500,0.05,1,21,5.957211042776,424.011968347914,2
500,0.05,1,21,8.73985175231644,622.069911231782,3
500,0.05,1,21,11.8214077641579,841.403525698861,4
500,0.05,1,21,14.944799090739,1063.71482116831,5
500,0.05,1,21,18.0786583461338,1286.77118460144,6
500,0.05,1,21,21.2162491926642,1510.09314871433,7
500,0.05,1,21,24.3554851218128,1733.53220364607,8
500,0.05,1,21,27.4955572923045,1957.03077910434,9
500,0.05,1,21,30.6361005192705,2180.56288259802,10
500,0.1,0.1,420,5.10987753018048,181.850971371577,1
500,0.1,0.1,420,8.36984921426497,297.867258238175,2
500,0.1,0.1,420,11.5403660316066,410.700013931074,3
500,0.1,0.1,420,14.656066750613,521.581967345411,4
500,0.1,0.1,420,17.6527449247192,628.228131295639,5
500,0.1,0.1,420,20.0364297273448,713.059009186724,6
500,0.1,0.1,420,21.8095896879112,776.162451357636,7
500,0.1,0.1,420,24.5376057836808,873.247435098033,8
500,0.1,0.1,420,27.5824617004493,981.608154680934,9
500,0.1,0.1,420,30.686983770575,1092.0922809173,10
500,0.1,0.4,105,5.01505813518487,178.476526684209,1
500,0.1,0.4,105,8.05828742761777,286.779357753394,2
